iter	Passed	Remaining
484	649	689
485	650	687
486	651	686
487	652	684
488	653	683
489	655	681
490	656	680
491	657	678
492	658	677
493	659	675
494	661	674
495	662	672
496	663	671
497	664	670
498	666	668
499	667	667
500	668	665
501	669	664
502	671	663
503	671	661
504	673	659
505	673	657
506	675	656
507	676	654
508	677	653
509	678	652
510	680	651
511	681	649
512	683	648
513	684	647
514	685	645
515	687	644
516	688	643
517	689	641
518	690	640
519	691	638
520	692	637
521	694	635
522	695	634
523	696	632
524	697	631
525	699	630
526	700	628
527	701	626
528	702	625
529	704	625
530	706	623
531	707	622
532	708	620
533	709	619
534	711	618
535	712	616
536	713	614
537	714	613
538	715	612
539	717	610
540	717	609
541	718	607
542	720	606
543	721	605
544	722	603
545	724	602
546	726	601
547	727	600
548	729	598
549	730	597
550	731	596
551	733	595
552	735	594
553	736	592
554	737	591
555	739	590
556	740	588
557	741	587
558	742	585
559	743	584
560	744	582
561	745	581
562	746	579
563	747	577
564	748	576
565	750	575
566	752	574
567	752	572
568	754	571
569	755	570
570	756	568
571	757	567
572	758	565
573	760	564
574	761	562
575	762	561
576	763	559
577	765	558
578	766	557
579	767	555
580	768	554
581	769	552
582	770	551
583	772	550
584	773	548
585	774	546
586	775	545
587	776	544
588	779	543
589	780	542
590	782	541
591	784	540
592	785	538
593	786	537
594	787	536
595	788	534
596	789	533
597	790	531
598	791	530
599	792	528
600	794	527
601	795	526
602	796	524
603	798	523
604	799	522
605	801	520
606	802	519
607	803	517
608	804	516
609	805	515
610	806	513
611	807	512
612	808	510
613	810	509
614	812	508
615	814	507
616	815	505
617	816	504
618	818	503
619	819	502
620	820	500
621	821	499
622	822	497
623	824	496
624	824	494
625	826	493
626	827	492
627	829	491
628	830	489
629	832	488
630	833	487
631	835	486
632	836	485
633	838	483
634	839	482
635	841	481
636	846	482
637	849	481
638	850	480
639	851	478
640	852	477
641	853	476
642	855	475
643	857	474
644	859	472
645	860	471
646	862	470
647	864	469
648	865	468
649	866	466
650	867	465
651	868	463
652	870	462
653	871	461
654	877	462
655	879	461
656	881	460
657	882	458
658	883	457
659	885	455
660	886	454
661	887	453
662	888	451
663	889	450
664	891	448
665	892	447
666	893	446
667	895	444
668	897	443
669	898	442
670	899	440
671	899	439
672	901	437
673	902	436
674	903	434
675	904	433
676	909	434
677	911	432
678	913	432
679	914	430
680	915	428
681	916	427
682	918	426
683	919	424
684	920	423
685	921	421
686	922	420
687	923	419
688	925	417
689	927	416
690	928	415
691	930	414
692	931	412
693	933	411
694	935	410
695	936	409
696	937	407
697	938	406
698	939	404
699	940	403
700	942	401
701	943	400
702	944	398
703	945	397
704	947	396
705	948	395
706	949	393
707	950	392
708	951	390
709	954	389
710	955	388
711	956	386
712	957	385
713	959	384
714	960	382
715	962	381
716	964	380
717	965	379
718	966	377
719	968	376
720	970	375
721	971	374
722	972	372
723	974	371
724	976	370
725	977	368
726	978	367
727	979	365
728	980	364
729	981	363
730	983	361
731	983	360
732	984	358
733	985	357
734	986	355
735	987	354
736	988	352
737	989	351
738	992	350
739	994	349
740	995	348
741	997	346
742	998	345
743	1000	344
744	1000	342
745	1001	341
746	1002	339
747	1003	338
748	1005	336
749	1006	335
750	1007	333
751	1008	332
752	1009	331
753	1010	329
754	1011	328
755	1013	326
756	1014	325
757	1015	324
758	1016	322
759	1017	321
760	1018	320
761	1020	318
762	1021	317
